Gene,log2FoldChange
REM2,1.1070989668774835
GCLM,1.1069815050500837
LOC101929698,1.1054190436430948
ITGB3,1.1037726361536748
GYPB,1.1012631403118862
ST6GALNAC3,1.1010821727309885
ORMDL3,1.0994962967760178
POMGNT2,1.0979779130849456
EIF2AK3,1.0977981658370266
C2orf88,1.0967194957178301
HERC5,1.096555592188644
CA2,1.0961761951861346
PATL2,1.0956789909541749
LILRB1,1.0947048821589322
APBB2,1.094688543745934
CARD17,1.094600068408569
RSAD2,1.094371551531552
AGAP1,1.0938483681858708
FAM69A,1.0936755536826264
MAPT,1.0910956824644316
CD200R1,1.0903752947055667
TRIM32,1.0894013609498845
WIPI1,1.088888383641577
WNT10B,1.08865697206202
BTN3A3,1.0884107643777257
PIF1,1.0876814387787013
TNIP3,1.0873764477843748
C6orf229,1.0862822981865647
ZNF462,1.0845972116683327
SLC2A1,1.0841056475995803
GPR65,1.0827612824841266
PPP3CC,1.082042874219493
JAKMIP2,1.0807638795808825
POLE2,1.0804373716767597
LOC100505585,1.0801777452736718
SNORA75,1.0779096514839448
MIPOL1,1.0772961225733246
LGMN,1.0765549720026932
MARVELD2,1.0752969237290575
ARNTL,1.0749254086202793
SPATA13,1.073051749687018
CX3CR1,1.0712815436342982
FRMD4A,1.0698001432048552
ARID5B,1.0686748796584316
EXT1,1.068457890246501
LOC100129534,1.0662623069612982
SLC44A2,1.0654552283308638
GALM,1.0642528815159529
MEG3,1.06368110844992
LINC00623,1.0628970988790676
GPRASP1,1.0624608610152082
SELENBP1,1.0600493118625731
SP140,1.0579816831240494
SNHG14,1.0571308623904723
HBBP1,1.0562560792199183
SLC8A3,1.0555855609389213
HIP1R,1.0551906765370143
PRSS23,1.0550860114704008
TMEM45A,1.0548720269612115
IL12RB2,1.0545695699283542
ZC3H12D,1.0540970791734325
CCR10,1.0535680391131552
G0S2,1.0518273055277705
SLC6A8,1.0517007564196017
UBAC1,1.0515485020901332
EML4,1.0492884283699588
MAP3K9,1.0481308023928992
SGPP1,1.0475166223008539
PRSS30P,1.045624291444368
HMBS,1.0455942571990455
SOX6,1.045164994732041
EIF1AY,1.0420513797264905
HMMR-AS1,1.0404570326243872
GMPR,1.0404060329517812
DMPK,1.0400396320186263
SLC35G1,1.0394323979242561
B3GNT7,1.038583968937022
MARCH3,1.0385064782441018
PGGHG,1.0373885999287111
APOL3,1.0370806789972526
PELI1,1.0361105107794528
CNN3,1.035578613803237
GP9,1.0354196771044561
PLEKHH1,1.0354113874744162
MFHAS1,1.0345358927365818
SLC2A12,1.0344509415253196
SLA2,1.034297009774994
C16orf95,1.0340039879016263
SDK2,1.03340805477289
FICD,1.033366666724641
MTMR1,1.03273618534447
CXCR5,1.0322630621803486
PLBD1,1.0318453231613314
C15orf65,1.03173633424665
SLC4A1,1.0316515127672599
GLT1D1,1.0315251629760656
PIP4K2C,1.0313694119256522
GAL3ST4,1.030225272486734
CCNB1,1.0293764866395152
LRRN1,1.028653969929415
AQP1,1.028129712602351
FYB1,1.0273422986497158
ADM2,1.0269589752581538
HMMR,1.0257729568424432
HAUS3,1.025589333871319
EIF5A2,1.0251819852496906
KIAA0040,1.0251556151066696
SH3BP5-AS1,1.024322639969626
MINPP1,1.0242100050954899
MIATNB,1.0223207739564166
LOC101927482,1.021402031403536
COQ3,1.020781579946143
TRADD,1.0205141802150506
SNORD12,1.0200118234669135
ZFYVE28,1.0188531095068898
NHLRC4,1.0187063148864386
CDK1,1.0181881219787619
AQP9,1.0175259194024198
DZIP1,1.0160690243508943
IRF2BP1,1.0146716421032036
COL4A3,1.0119880816985767
LOC105370792,1.0118207199467522
ISG15,1.0107160341634709
TEX14,1.0093557396370176
IRF4,1.008736621717135
ZNF815P,1.0085702017247593
MKI67,1.0060982696759495
IL15,1.0060513649999185
TMCC2,1.0050507454616735
SERPINI1,1.0030949462746412
PLEKHF1,1.0028967240771813
ST6GAL2,1.0022066597261743
LRRK2,1.002152315362292
WDR17,1.001385850767664
TMEM243,1.0006470501780875
UROD,1.0005019419999022
BTN3A1,0.9996208625144847
SNORD63,0.9987546673141853
APOBEC3H,0.9979869429875551
ABCB4,0.9977053303390845
TIMP3,0.9973409029250315
ZCWPW2,0.9969304818228958
TKTL1,0.9951500045489995
GIPR,0.994540174216617
APOL6,0.993258274778342
SLC16A10,0.9924543705559509
SNORD89,0.9918835145440141
AKAP5,0.991019143883195
CR1L,0.9908777060751272
LRRCC1,0.9882911156106771
IRAIN,0.9881469846932058
LOC100506100,0.9864859782084221
PLSCR4,0.9820285271931354
FMNL3,0.9812809121332915
HLA-F,0.9811602538942743
