Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,-log10_padj
CCNA1,7.663900750555597,-2.5319126807841608,0.577608059316405,-4.38344417108837,1.1681759586018884e-05,0.0012987420868979301,2.886477085538353
LINC00861,43.94678662492271,2.4030280118140164,0.5497084702563035,4.371458949311069,1.234190570159149e-05,0.0013529569122757133,2.868716034192374
MCOLN2,5.826255034471171,2.1124216459125766,0.48344137286704436,4.369550817268453,1.245023658290112e-05,0.0013529569122757133,2.868716034192374
EPB41L2,41.63071600765617,-0.9522553266191689,0.21785982410292454,-4.370954261715049,1.2370470642987629e-05,0.0013529569122757133,2.868716034192374
GZMB,38.0186921522487,2.146651446348446,0.49242652399371617,4.359333508151643,1.3045916378823407e-05,0.00137629656513237,2.861287974005351
CCDC66,105.5594532606596,0.9070501057129194,0.20801315979057816,4.360541932184061,1.2974071531374074e-05,0.00137629656513237,2.861287974005351
SLC41A1,20.753159848181486,1.6449314948126261,0.3769360526201724,4.363953735330742,1.2773260203134538e-05,0.00137629656513237,2.861287974005351
SCARF1,16.222004992019357,-1.6004681972837596,0.36692520599426115,-4.361837701901547,1.2897453147151252e-05,0.00137629656513237,2.861287974005351
ITPR1,51.863944841303805,-0.893633294946786,0.20537997618990975,-4.351121815889518,1.3544277381278456e-05,0.0014185176883450546,2.8481652443568453
RNF220,33.05625449317438,-0.90385351981835,0.20794928535611093,-4.346509382181865,1.3832113752461248e-05,0.0014382412954267799,2.8421682457464446
ETV6,134.53587363217275,-0.9390440072582391,0.21616310219964457,-4.34414568306368,1.3981870980036646e-05,0.0014434284376747832,2.840604742710425
DNAJC6,9.8092024860244,2.067841895908928,0.4762575992125966,4.34185596057201,1.4128414971382664e-05,0.001448212635329033,2.8391676677173936
PTPN4,50.80427922330749,1.4004588257943371,0.3231439248318706,4.333854725949081,1.4652088314774942e-05,0.0014793133137014918,2.8299398341160136
CD6,34.28304852327398,2.446495686734033,0.5646773586157363,4.332554952674977,1.473888584882134e-05,0.0014793133137014918,2.8299398341160136
TBC1D4,40.16733215194881,1.8294127571342702,0.4221420969722137,4.333642084633616,1.4666254858669365e-05,0.0014793133137014918,2.8299398341160136
RAB39B,12.008720834144158,1.6217605806260253,0.37481561010150494,4.326822407921675,1.5127583195896297e-05,0.00150785489607096,2.821640449492607
JAG1,10.920469553571515,-1.7451955759906232,0.40501469005872087,-4.308968585158224,1.6401766135661034e-05,0.0016126171833925776,2.7924687168467135
NR3C2,3.6830900779792737,2.3568671888943475,0.5468104080074835,4.310209085965482,1.631002622263265e-05,0.0016126171833925776,2.7924687168467135
AKTIP,11.629101836354705,1.3274826063726077,0.3088279793714183,4.298453168247698,1.7199423178200024e-05,0.0016740099592373726,2.7762419625739603
DLG3,5.72764175811528,2.1584059125177046,0.5023967172535956,4.2962181845392164,1.7373659024811866e-05,0.0016740099592373726,2.7762419625739603
LINC01550,6.026143591884046,2.1207749241296225,0.493522777914754,4.29721791786466,1.7295514482636377e-05,0.0016740099592373726,2.7762419625739603
LINC01268,24.869993709646042,-2.5684867380673126,0.5984772777336261,-4.291703016351625,1.773079894416232e-05,0.001695031280020942,2.7708222829386915
CFD,453.56755244953615,-2.3626958935033593,0.5507405280258025,-4.290034550340311,1.7864532364118867e-05,0.001695031280020942,2.7708222829386915
ITGB1,405.59018348734173,0.6635609845227195,0.15471037596840734,4.28905288587898,1.794366469544068e-05,0.001695031280020942,2.7708222829386915
SELENOM,19.878967755476097,2.103885637871527,0.4907862657191514,4.28676551245519,1.8129348365667292e-05,0.0017014511164220088,2.76918052389591
RASGRP1,49.82796865265318,1.8848868303715933,0.4400527179345885,4.283320505821241,1.841246439909269e-05,0.0017168732126457205,2.7652617753582636
LATS2,47.00120402416474,-1.3090364137818722,0.3061236848056104,-4.276168355327079,1.9013745770394725e-05,0.0017615747924327881,2.754098912941845
TNRC6C,44.24379936306824,1.274373400945165,0.29877325601785276,4.2653529901920555,1.9958639706419514e-05,0.001829585820943605,2.7376472141150225
GNLY,130.08808508068705,2.2608632283292245,0.5302870409422292,4.263470637170499,2.0127596037503162e-05,0.001829585820943605,2.7376472141150225
FAM102A,22.354365153003805,2.0736715593813932,0.48633539800555015,4.263871328070033,2.0091517100836866e-05,0.001829585820943605,2.7376472141150225
B3GNTL1,21.96642918831526,-0.9953856722731405,0.23421163305107612,-4.2499412147306534,2.138266255655989e-05,0.0019315226370622504,2.714100197644135
RFX8,7.309314863540526,-2.9115878635630903,0.6865687446051149,-4.240781256708258,2.2274313112831643e-05,0.0019507319233139184,2.7098024088345163
TNFSF4,6.1238751946375745,-1.762959915351939,0.4156693964064483,-4.241255022845339,2.2227340699805454e-05,0.0019507319233139184,2.7098024088345163
ATP1B2,6.420864663332098,2.2608937788578873,0.5332967397506174,4.239466717751053,2.2405140750716837e-05,0.0019507319233139184,2.7098024088345163
IL7R,395.30086176167356,2.4158550298140984,0.5696022471383729,4.241301789013513,2.222270909828595e-05,0.0019507319233139184,2.7098024088345163
LRRC75A-AS1,1183.4615254578844,-0.8242921026126927,0.19425340322122991,-4.243385644440571,2.2017259256753255e-05,0.0019507319233139184,2.7098024088345163
PYHIN1,36.27313450790259,1.6424974443050397,0.38704570517508113,4.24367825903675,2.1988555194747442e-05,0.0019507319233139184,2.7098024088345163
ETS1,345.68651056106046,1.9298253731378732,0.45576928009786466,4.234215550296617,2.2935088124842316e-05,0.001984915141726623,2.7022580552825453
LIME1,48.52961998490024,2.020093837220751,0.477686421035075,4.228911998049913,2.3482417003694016e-05,0.002009785302150604,2.696850334157344
GIMAP1,41.40727208749187,2.1140064203079136,0.5000712528844585,4.227410410244787,2.3639625085837036e-05,0.002009785302150604,2.696850334157344
VSIG1,12.76490595436378,1.92896859342768,0.45621542513052504,4.228196784174481,2.3557171532111684e-05,0.002009785302150604,2.696850334157344
CALR,624.472795863412,-0.6758218797599526,0.16011597731570945,-4.220827247160959,2.4340742257115446e-05,0.002057290923053155,2.6867042900540063
JCHAIN,1141.0340843861547,3.089006120750655,0.7323592173148717,4.217883857700617,2.466057763742975e-05,0.002060227332911978,2.686084855367766
LOC100507507,8.789636606440988,-1.109067930375379,0.26290129862467665,-4.218571517817824,2.458549896387184e-05,0.002060227332911978,2.686084855367766
FUT4,40.29900112453367,-1.7045864378075442,0.4048540612086145,-4.2103725789950746,2.54949885648409e-05,0.002114722422578619,2.674746629827355
