Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XCL2,10.507816132701949,2.285892134368344,0.5434813370597998,4.2060177203781794,2.5990986292286717e-05,0.0021223035304091522
GZMK,22.541807934988,2.2850196162633507,0.644770617677942,3.5439264036139764,0.00039421527207519756,0.01217434471645904
SYNE2,405.5501647551283,2.284725890873818,0.4652645656132944,4.910595088758108,9.080041141311621e-07,0.0002747004222636694
RNASE1,4.8367000986516215,2.276090662628629,0.7457553129431685,3.0520609416054967,0.002272759530191814,0.03864894885182253
LINC00402,7.781363064145447,2.2635387911576754,0.7368223446318947,3.072027887927999,0.0021260986060507607,0.037476617876569696
ATP1B2,6.420864663332098,2.2608937788578873,0.5332967397506174,4.239466717751053,2.2405140750716837e-05,0.0019507319233139184
GNLY,130.08808508068705,2.2608632283292245,0.5302870409422292,4.263470637170499,2.0127596037503162e-05,0.001829585820943605
SPOCK2,78.3883574615914,2.256169375073583,0.4840601425716887,4.660927799358005,3.1478714364724946e-06,0.0005970195834265693
TSHZ2,11.614571431569617,2.243275717487941,0.5063508449290718,4.430279400051505,9.41110755754591e-06,0.0011719056565810862
DOCK9,7.8792038012860415,2.2299554692888903,0.5745833557132491,3.880995589440236,0.00010402972780145378,0.004995619866139715
PLEKHB1,2.4767470237224556,2.2290060180237856,0.6897091797766053,3.231805641249771,0.0012301069314885477,0.02610680687342728
LINC00612,3.7266960353088905,2.2288734069793787,0.6312407520694379,3.530940294447589,0.00041408520609611757,0.012573053537199974
F5,18.28035787872402,2.218256760657222,0.5588235153637265,3.9695121978061443,7.201992016799878e-05,0.003972915672473612
ITGA1,1.829277524155259,2.2178467993465776,0.724727345824193,3.0602499162279315,0.002211523673111722,0.03823319562294173
FCMR,28.692988339535514,2.197325525712433,0.5853592299946933,3.7538069156821074,0.00017416904450316448,0.007151321591489308
MYBL1,34.41546834496977,2.1967196429783886,0.4717903045011676,4.656135622161671,3.2219973366963537e-06,0.0005970195834265693
XK,22.632072096482247,2.1859152694716606,0.5700013081906623,3.8349302678099884,0.0001255999229977363,0.005655126751047609
NUP62CL,2.0161196160911756,2.164496361367786,0.7372495987080612,2.935907140757755,0.0033257386172054542,0.0498619297038075
DLG3,5.72764175811528,2.1584059125177046,0.5023967172535956,4.2962181845392164,1.7373659024811866e-05,0.0016740099592373726
TMEM204,7.305182392242537,2.157359905670582,0.6189495212483902,3.48551833648614,0.0004911845578672365,0.014311305772931108
TBX21,8.663510629875445,2.152790931452836,0.5780891534848925,3.7239773804354837,0.00019610850440427555,0.007808143840647367
CD8B2,4.2251876877731585,2.1524678086374993,0.5976554168004706,3.601519785699705,0.0003163623401781388,0.010604802061187558
GZMB,38.0186921522487,2.146651446348446,0.49242652399371617,4.359333508151643,1.3045916378823407e-05,0.00137629656513237
LINC02361,3.839331470298386,2.1313489139568484,0.6207488027516495,3.4335127260963287,0.0005958142335924674,0.016263631967405823
SNX25,5.914024922311261,2.1247314057949294,0.40395642312030616,5.259803494106449,1.442094287064459e-07,8.684411971226095e-05
LINC01550,6.026143591884046,2.1207749241296225,0.493522777914754,4.29721791786466,1.7295514482636377e-05,0.0016740099592373726
GIMAP1,41.40727208749187,2.1140064203079136,0.5000712528844585,4.227410410244787,2.3639625085837036e-05,0.002009785302150604
MCOLN2,5.826255034471171,2.1124216459125766,0.48344137286704436,4.369550817268453,1.245023658290112e-05,0.0013529569122757133
KLRC1,7.7389318167009735,2.1069525239024567,0.6438887372210438,3.272230747498151,0.0010670245197451085,0.02409641466230633
SELENOM,19.878967755476097,2.103885637871527,0.4907862657191514,4.28676551245519,1.8129348365667292e-05,0.0017014511164220088
PCED1B,20.88503624024834,2.098414487758203,0.37044939984804054,5.664510426036536,1.4744489761527052e-08,1.9372919138486408e-05
IL18R1,15.582853251186505,2.096426794534839,0.41733275244788415,5.023393879915134,5.076628060828432e-07,0.00019830406854906305
CD5,15.543319670101255,2.0947803101622244,0.5447020158567033,3.8457362910022814,0.00012019097483757576,0.005558461588495743
PPP2R2B,4.875751558129274,2.094647778763261,0.5209528147623663,4.020801345931376,5.8000501605550756e-05,0.003449717076975412
KLF1,14.189798169974926,2.09124447148369,0.6613063038536454,3.1622932660664698,0.001565318361143424,0.030718517802929193
IL21R,6.22946320223403,2.091020900934103,0.5104975821447867,4.096044671061831,4.2026886976449814e-05,0.0028727180806544144
DIP2C,1.449003158892068,2.0816633345622892,0.6987552239327839,2.9791023569686153,0.002890941885718242,0.045515743491819145
C8orf88,5.936235373123585,2.080757263414993,0.6672854481375013,3.11824162990923,0.001819335797395092,0.03419357643660762
FAM102A,22.354365153003805,2.0736715593813932,0.48633539800555015,4.263871328070033,2.0091517100836866e-05,0.001829585820943605
LRIG1,7.6729209706552375,2.0727631278538166,0.4364066140884227,4.749614375537037,2.0380490419210057e-06,0.00046024879379506713
TRIM69,1.4645592902103992,2.0716336625696,0.6956914325872435,2.9778053394524235,0.0029032030663517137,0.045559168206277215
TSPAN18,2.86714382855899,2.0711053387357725,0.6211655456902504,3.3342244319657537,0.0008553760994992754,0.020812711727378832
DNAJC6,9.8092024860244,2.067841895908928,0.4762575992125966,4.34185596057201,1.4128414971382664e-05,0.001448212635329033
TTC39C-AS1,3.590133797092829,2.0642396136318,0.6244484346482919,3.3057006777420166,0.0009473923484442009,0.022052744067921057
GZMA,91.37274571434929,2.0567799449203057,0.5747325962460591,3.578672861700262,0.00034534341900122913,0.011241550528884604
S1PR1,28.66602409560462,2.0539767718631747,0.5951620385274833,3.451121944781642,0.0005582612687119729,0.015585285766336547
SLC22A17,1.6325861393018835,2.0480731358693673,0.6509449761762943,3.146307615583612,0.0016534600000961274,0.03177853375184751
ARSG,3.228802965485535,2.047620911455215,0.5772825663401204,3.546999391367048,0.00038964549146170444,0.012162122558173952
RGS9,2.574351170128791,2.038941353012468,0.6060915097305138,3.3640816943946987,0.0007679880656298726,0.019337511345903394
AQP3,23.380307871633047,2.032526722484368,0.5233465490205017,3.8837109488702213,0.00010287419778459165,0.004994578396800982
SEC14L2,4.983239561381087,2.0322288207082795,0.436061046207697,4.660422751314328,3.1556057806668603e-06,0.0005970195834265693
GPR171,19.28356820795164,2.030227529472554,0.5181102376420422,3.918524248260889,8.909276791232292e-05,0.004502299911317493
LIME1,48.52961998490024,2.020093837220751,0.477686421035075,4.228911998049913,2.3482417003694016e-05,0.002009785302150604
MIAT,20.928805681456076,2.0200788109000345,0.4939368323340886,4.089751317702291,4.318359374943598e-05,0.0029029417695841777
MID2,4.785840231895619,2.0181737627643512,0.6674885652128024,3.0235330879727296,0.0024984170601377084,0.04136268244005762
LAT,30.00207587291897,2.011565963730578,0.45044298241350295,4.465750477346714,7.978856096011182e-06,0.0010366143011029654
SLC37A3,9.181855042146571,2.007861232406737,0.43959914723226234,4.5674820914652114,4.9361783588236115e-06,0.0007640535019396843
GATA1,17.404289216985724,2.0045909047117143,0.5604125612649273,3.5769913868223804,0.0003475716216505631,0.011263346743756925
TTC39B,11.448918427109648,1.9949055370038233,0.41947100503073276,4.755765030428421,1.976963079642735e-06,0.0004535404347631182
DNAJA4,25.7653798693721,1.99091694818086,0.4333044868870396,4.594729591849074,4.333108043610321e-06,0.0007116637562988633
NECTIN3,1.8195110558012104,1.9898304510113058,0.6321166825472286,3.1478847275362574,0.001644565323264657,0.031734182399391304
CES1,13.506279827220643,1.9839965490367704,0.6684854754395093,2.9678977658151084,0.002998440424686069,0.046592003968865495
ATP7B,3.5719153742514287,1.983835477443346,0.5956083316169267,3.3307718716051737,0.0008660554612327391,0.020931604650830733
IL7,4.09503563604136,1.9832921825350052,0.5658259360409849,3.5051277366531814,0.00045638825552906764,0.01348911954429778
PECR,9.152862079070413,1.983247222579433,0.42293609596476334,4.689236131655847,2.7422679805120427e-06,0.0005661999874620079
SLAMF1,18.970359761859335,1.9807586574692624,0.5704686391729612,3.472160468524394,0.0005162876302424857,0.014746848063032898
LTB,190.26795330216626,1.979614677602993,0.6122817157618792,3.2331762106266773,0.0012242202517338042,0.026020081321042166
CD7,23.515383050926467,1.9779559970057456,0.48710327726232183,4.060650152309586,4.8936253276796814e-05,0.003091266834029719
MAGI2-AS3,9.295288471383836,1.9722632096681987,0.4488450159695509,4.394085128488972,1.1124022185120247e-05,0.001250712565277024
SIRPG,6.9013011257583114,1.9633519266184434,0.6583364732341506,2.9822925000239775,0.0028609851424425026,0.04529005286278367
TRABD2A,27.57028521901962,1.9620359601329906,0.5154142665144474,3.8067164368605875,0.00014082405306943066,0.006133101818465588
ERCC6L,10.730550652381414,1.9612832749912747,0.4806350966063311,4.080607697688967,4.4918111017396874e-05,0.0029643902216184336
CLUHP3,6.280552752809093,1.956731340212328,0.41087423081481195,4.762360823485814,1.913411585663235e-06,0.00045335307619001207
ZBP1,15.015785957914384,1.9558568567455246,0.41775605554253414,4.68181569314532,2.8434507920108647e-06,0.0005788224548863806
KLRC4,5.8311432028376515,1.947848296065981,0.5641607355133921,3.4526477534694417,0.0005551133703737149,0.015548553375990894
TRAT1,80.65777027127163,1.9449056992823475,0.5674391222869709,3.4275142881296623,0.0006091342474528745,0.016517480822582354
PRKG2,3.4371632032380286,1.940969871540706,0.6459276909554869,3.0049336771265085,0.002656387658770327,0.043235102288522
TC2N,68.64313530822531,1.9300403250774516,0.48015497646626715,4.019619538844965,5.829219953636964e-05,0.0034528572127014365
ETS1,345.68651056106046,1.9298253731378732,0.45576928009786466,4.234215550296617,2.2935088124842316e-05,0.001984915141726623
