Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LTC4S,14.373750719038108,-1.567543938572183,0.5226961471839623,-2.9989582800970744,0.002709043994087464,0.04370232494413668
CCDC62,3.810113768933286,-1.5650997643092726,0.48920567623865124,-3.199267384513673,0.001377773213317317,0.028205320470361447
EGFL7,54.95716830430664,-1.5650099945509635,0.47038283552551796,-3.3270984320729164,0.0008775536945356356,0.021063896043585415
AADAT,3.1201056194566075,-1.5648518257499984,0.5314531475707984,-2.944477481980731,0.003235004861528333,0.04901450387900146
BMP1,4.343692269312348,-1.5631552825921546,0.4234801177359135,-3.691212921516552,0.00022318720386301993,0.00848874909850586
NMB,4.773145229695094,-1.5582811492132556,0.48501654065137406,-3.2128412509818616,0.0013142891200170535,0.027292271051158726
DPY19L2P3,2.288039070211121,-1.5479915220338247,0.5133105668307991,-3.0157016474279676,0.002563853979722027,0.04224683313059132
C9orf43,5.539456111250473,-1.534166004957372,0.46995002791732515,-3.2645300857972637,0.0010964581773485439,0.024502357828035736
KIT,85.4699669149984,-1.5195745262381277,0.4287598741831095,-3.5441155241807127,0.0003939325946582065,0.01217434471645904
MEX3B,10.498583020939465,-1.5118338805629319,0.4403155904641189,-3.4335233939124636,0.000595790788242885,0.016263631967405823
GNA15,60.6401453395954,-1.5091367412889936,0.42612909846935165,-3.5415012650151954,0.0003978569508524928,0.012234524490789529
MSRB3,93.08502428401626,-1.5059393352689643,0.3620467800270364,-4.159515892273661,3.1892283125333805e-05,0.00233979273101751
GOLGA8R,8.92867740402154,-1.5034421265919855,0.4702122503752562,-3.1973691144629957,0.001386873341244067,0.028271481524683353
RFX2,12.253267877603685,-1.4885277829248145,0.4427900863298535,-3.3617007897867563,0.0007746401358070697,0.01947108501359927
CACNA2D4,19.866735340158677,-1.487019082811721,0.402044145347187,-3.698646280566028,0.0002167524182367248,0.00833170931057283
ZNF185,14.4890054431111,-1.4867565657349964,0.45606428948638317,-3.2599714557992967,0.0011142342686467721,0.024737370022660212
C9orf139,9.22989041607183,-1.4810896280196508,0.4669100765857936,-3.1721089397981843,0.0015133622556739554,0.03000360038581026
FAM212A,17.347155766037492,-1.4654253433080993,0.48581482017628036,-3.016427828974757,0.0025577209699453054,0.0421994762313008
MIR223,6.681141553133631,-1.464361288709046,0.4782195478038014,-3.0621108974613223,0.0021978201044373156,0.03804202870590721
DUSP10,42.99978580768581,-1.4621119966703189,0.3789077379043791,-3.8587546529316237,0.00011396627711137051,0.005394728204046181
HLX,11.16341288093199,-1.4620523321807173,0.4498193960129393,-3.250309669035838,0.0011527940502483647,0.025359714472206415
MIR155HG,19.241513519044513,-1.4579746189670828,0.44689748142470515,-3.2624364190173387,0.0011045894804063707,0.024598816271669148
HOTAIRM1,69.00358041866821,-1.4516104674774193,0.41363920709881913,-3.509363818915326,0.0004491800160044528,0.013303672807682911
HHEX,82.75818569461701,-1.4468873380284353,0.3106875341567976,-4.657049861866105,3.207727764383876e-06,0.0005970195834265693
JUP,19.74398716366125,-1.4278375751339565,0.44096655920709577,-3.237972461452312,0.001203824290653253,0.025699959339455635
NLRX1,5.221586469110497,-1.416471800134709,0.466805416554166,-3.034394524790926,0.0024101901652720144,0.040364401458489484
PBX3,35.02624455183815,-1.4161135606931663,0.4017268668862969,-3.5250656040736685,0.0004233779264694168,0.012801425044482178
FAM46A,165.1973815545219,-1.4118849777453242,0.3456103145392854,-4.0851934052588454,4.4040117776521065e-05,0.0029468139917780507
SH3D21,7.997294955725459,-1.4097148743346573,0.45304159973659053,-3.1116676154116973,0.0018603383009789475,0.03451536516565947
AGPAT2,22.454818447417587,-1.3999155710032882,0.3477858400722079,-4.025223024354975,5.692134249861947e-05,0.0033995213352584594
GFI1,15.510512669430675,-1.394591361363875,0.3534585555356382,-3.9455583675163366,7.961423494531509e-05,0.004184234682416869
LINC01410,39.399344969697275,-1.3864041078872456,0.3733520837249601,-3.713395929266,0.00020449658007874486,0.008009726482054471
STARD4-AS1,10.784265286773925,-1.3858571857757631,0.37126307391254787,-3.7328171939399657,0.00018935002081027245,0.007623052509111052
HLA-DRB5,99.50381666726173,-1.3809799850757698,0.42440692639467853,-3.2539053893562593,0.0011383018334489305,0.02515577431014892
QPRT,22.028419106575658,-1.3768185312327093,0.33230492306436415,-4.143238440575354,3.424355820187186e-05,0.0024622992372719103
MMP19,3.57814853574404,-1.3717704625260776,0.4609507523136191,-2.9759588321330264,0.0029207406722905394,0.04558689517992998
SPNS3,25.595212271132144,-1.369784767319827,0.39746944870151435,-3.4462642897328375,0.0005683941767557345,0.015767756308350537
IL18,45.43713985186012,-1.3582010583472097,0.3742458195987239,-3.629168282503485,0.000284335846991112,0.010097066330620495
CSF3R,84.16351082483723,-1.3427022096171735,0.42570486773358035,-3.1540682557040416,0.0016101142298807674,0.031362508038364864
FSCN1,18.67437079947441,-1.3389109294659582,0.38117533739010556,-3.5125854118302495,0.0004437693435637336,0.01321445581533836
BACE1,19.607241330838946,-1.3344573280964849,0.35547530501557567,-3.7540085324295975,0.000174028935466364,0.007151321591489308
GLA,21.25694645159998,-1.3336581946441501,0.24746769635150886,-5.389221358208269,7.076360242168779e-08,5.469093389083942e-05
GOLGA8IP,7.184750421196853,-1.3323815310325606,0.3528409120118095,-3.7761537442913258,0.00015926870472273978,0.006752146650627643
LINC02256,40.41865360285692,-1.3323798549863075,0.2504953344135945,-5.318980723155531,1.0435018967433104e-07,7.540866456815533e-05
HSH2D,97.36190194907184,-1.3204940842544892,0.264887179010781,-4.985118906795956,6.192371858916923e-07,0.00022303198663091548
LATS2,47.00120402416474,-1.3090364137818722,0.3061236848056104,-4.276168355327079,1.9013745770394725e-05,0.0017615747924327881
C9orf66,10.145187555263133,-1.3023780296461358,0.3674771855401845,-3.5441058136212313,0.00039394710436137096,0.01217434471645904
TTC7B,4.201035621533202,-1.2976643767828382,0.4047945411430335,-3.205735860761795,0.0013471758967275036,0.027775653688163496
CEBPA,28.079043831721247,-1.2833276482939862,0.37971987455139444,-3.379669420280212,0.0007257306304100673,0.018696942604842608
